                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96623,                 1.6798,                 1.2307,                0.97732,                0.82461,                0.96312,                0.76806,                0.67216,                 2.2498,                 1.0796,             0.00065185,             0.00065185,             0.00065185
                      2,                0.94593,                 1.2054,                 1.2171,                0.73266,                0.66875,                0.72401,                0.41174,                 1.2382,                 3.2802,                 1.8209,              0.0013055,              0.0013055,              0.0013055
                      3,                 0.9919,                 1.1268,                 1.2403,                0.87236,                0.88995,                0.93805,                0.72519,                0.79443,                  1.442,                 1.1352,              0.0019459,              0.0019459,              0.0019459
                      4,                0.98252,                 1.0095,                 1.2299,                0.77214,                0.72727,                0.76055,                0.48543,                 1.1841,                  1.987,                 1.4558,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.9648,                0.89943,                 1.2147,                0.58039,                0.56916,                0.55915,                 0.2457,                 1.9378,                 2.3113,                 2.1632,              0.0019208,              0.0019208,              0.0019208
                      6,                0.95563,                0.80055,                 1.2083,                0.93115,                0.91388,                0.96095,                0.75711,                0.71299,                 0.7233,                 1.0538,               0.001901,               0.001901,               0.001901
                      7,                0.91391,                0.72976,                 1.1726,                0.98645,                0.91388,                0.98291,                0.77176,                0.75234,                 0.6804,                 1.0495,              0.0018812,              0.0018812,              0.0018812
                      8,                0.81588,                0.66212,                 1.1199,                0.93862,                0.97129,                0.97934,                0.81136,                 0.6195,                0.53672,                 0.9919,              0.0018614,              0.0018614,              0.0018614
                      9,                0.84432,                0.67223,                 1.1294,                0.94032,                0.98007,                0.98874,                0.82688,                0.61233,                0.60259,                0.97942,              0.0018416,              0.0018416,              0.0018416
                     10,                0.82521,                0.62894,                 1.1284,                0.97005,                0.96172,                0.98506,                0.84695,                0.57971,                0.48495,                0.99059,              0.0018218,              0.0018218,              0.0018218
                     11,                0.83066,                0.63064,                 1.1269,                0.97017,                0.93369,                 0.9802,                0.84507,                0.57118,                0.49889,                 0.9536,               0.001802,               0.001802,               0.001802
                     12,                0.79789,                 0.5991,                 1.1107,                0.96168,                0.95694,                 0.9824,                0.83947,                0.59729,                0.48391,                0.96707,              0.0017822,              0.0017822,              0.0017822
                     13,                0.79053,                0.59628,                 1.1221,                0.94613,                0.87081,                0.94961,                0.76256,                0.69991,                0.60455,                 1.0418,              0.0017624,              0.0017624,              0.0017624
                     14,                0.81508,                0.57249,                 1.1297,                0.96552,                0.93793,                0.98669,                0.87769,                0.49505,                 0.4274,                0.90955,              0.0017426,              0.0017426,              0.0017426
                     15,                0.76895,                0.55789,                 1.1013,                0.95759,                0.97224,                 0.9915,                0.86957,                0.53761,                 0.4337,                0.92236,              0.0017228,              0.0017228,              0.0017228
                     16,                0.79348,                0.55337,                 1.1082,                0.97617,                0.96172,                0.99156,                0.88947,                0.49586,                0.40477,                0.90162,               0.001703,               0.001703,               0.001703
                     17,                0.75098,                0.51788,                 1.1061,                      1,                0.98078,                0.99325,                0.89443,                0.49016,                0.37071,                0.90239,              0.0016832,              0.0016832,              0.0016832
                     18,                0.78369,                 0.5374,                  1.105,                0.99018,                0.97608,                0.99417,                0.87984,                0.52003,                0.35031,                0.92057,              0.0016634,              0.0016634,              0.0016634
                     19,                0.74094,                0.49801,                   1.08,                0.97609,                0.97675,                0.99357,                 0.8928,                0.50154,                0.34447,                0.89873,              0.0016436,              0.0016436,              0.0016436
                     20,                0.75423,                0.50898,                 1.0917,                0.98604,                0.96172,                0.98601,                0.88756,                0.50169,                0.37736,                0.90932,              0.0016238,              0.0016238,              0.0016238
                     21,                0.76924,                0.53466,                  1.111,                0.97894,                0.94258,                0.98429,                0.88551,                0.47971,                0.38077,                0.90243,               0.001604,               0.001604,               0.001604
                     22,                0.71742,                0.50832,                 1.0731,                0.98338,                0.97608,                0.99217,                0.89327,                 0.4676,                0.33305,                0.88216,              0.0015842,              0.0015842,              0.0015842
                     23,                0.75886,                0.52342,                 1.1123,                0.98025,                0.95694,                0.97838,                0.87161,                0.50279,                 0.3808,                 0.9172,              0.0015644,              0.0015644,              0.0015644
                     24,                0.74487,                0.53274,                 1.0795,                0.99264,                0.98565,                0.99442,                0.90933,                 0.4802,                0.33291,                0.89782,              0.0015446,              0.0015446,              0.0015446
                     25,                0.75727,                0.52694,                 1.0889,                0.97464,                0.99043,                0.99369,                0.85348,                0.60019,                0.35744,                0.96404,              0.0015248,              0.0015248,              0.0015248
                     26,                0.74068,                0.48949,                 1.0823,                0.98436,                0.98086,                0.99105,                0.90975,                0.45268,                 0.3159,                0.88212,               0.001505,               0.001505,               0.001505
